id,saleprice
2,122285.39206496987
4,270148.47437430115
6,193988.0398949749
7,210463.74587059606
17,214953.55591217492
18,316241.9890442529
22,183011.77687572164
27,101580.96933395625
31,113895.33067347843
36,154272.42042261985
39,323527.9306065962
40,265471.3990925434
42,308831.3310270111
46,212918.4420025341
53,176941.9847523095
58,172810.73283053323
61,316333.00819792354
72,211818.93581401702
79,110057.12666191129
80,213661.20012451868
82,174577.692907561
83,93022.94244114931
85,146726.04679251707
88,118417.57279916783
92,299288.00703949097
93,283775.05269243504
95,196091.11542403692
102,203275.74106776243
103,168979.56841640142
106,241663.05432119302
107,155234.6234286385
110,229728.59572188294
114,205464.01820866717
116,202326.95443817155
117,167354.094799808
118,151910.43597598153
125,144018.44598705438
126,168873.34319218787
127,128512.59746015788
128,238879.21128221945
134,151550.87004763307
135,175820.55402647483
137,281166.96557867987
143,144003.9485312836
147,135784.05443265496
148,207150.10284574793
150,114747.77749712157
156,149242.85914191644
157,124715.10789054778
159,145640.78302463688
161,286745.4291894962
167,139590.94070804128
170,152056.4622732666
171,79325.57918129853
175,78129.04965111287
179,143155.73368857265
181,112977.70143296402
186,203233.21643611233
193,218194.94632040232
194,62920.72666474116
206,98716.85357618281
208,126792.56647491489
210,182154.27337807554
211,81174.14203391183
212,92049.5632379361
214,85491.24039045873
215,112618.71273291149
217,141913.00609049932
222,151668.53805895575
227,152499.6011001613
228,166110.99955215576
233,224192.2587659518
235,118740.2775255735
238,137897.87469292394
241,180274.5030182254
252,206491.55286049098
253,205465.2660590519
256,148149.2110222082
257,133716.0638154351
258,209540.46070962594
259,187889.345600879
261,160189.90465142857
263,119792.35458614212
266,238478.16935265635
267,241973.50704931092
270,144065.14460929623
271,264780.10637784976
276,85804.8603918832
285,181728.50167514922
288,38406.66208921265
289,139324.82658289137
290,118845.42188327726
291,125677.86881730446
292,118675.30458811519
293,205515.41192398337
294,258605.47942729905
295,189778.33390368999
304,119944.39002183249
322,318040.9167187887
326,186404.28596933332
327,81266.56752239286
328,116583.44433434759
331,48746.73149472683
332,65997.22146276939
333,83784.99898158194
335,146729.80767406596
337,184603.47878936183
342,122215.47626172396
343,204416.76061615217
347,182659.7374713175
350,319834.8430838393
352,217227.5504494369
358,181355.66026028074
359,172504.07820543175
360,176079.84895427278
368,325733.4924630425
369,230154.2014242771
373,210733.32591094193
377,276361.14110775804
383,178939.10658741524
386,246247.9429949671
387,239833.79593109334
390,180441.32201785813
391,174958.2954699612
395,163093.96466834293
397,140049.09888105947
